subject,appearance
Bump simplecov from 0.17.0 to 0.17.1,28
Merge remote-tracking branch 'origin/dev' into combo-scripter-v2,28
Pontoon: Update Indonesian (id) localization of AMO Frontend,27
Pontoon: Update Italian (it) localization of AMO Frontend,27
Merge branch 'master' of github.com:our-city-app/oca-backend,27
Bump commons-io from 2.6 to 2.7,27
Update composer.json,27
calcs/risk/general:,27
Update ELK images,27
Tab police,27
"feat: load protos from JSON, grpc-fallback support",27
minor cleanup,27
Merge branch '1.5.1-SNAPSHOT' into 1.6.0-SNAPSHOT,27
Merge branch '4.x',27
Merge branch 'mlxsw-fixes',27
Bump lodash from 4.17.13 to 4.17.19,27
Rename ScopedTaskEnvironment::ExecutionMode,27
Automated rollback.,27
bugfixes,27
Merge branch 's390-qeth-next',27
Build assets,27
Bump capybara from 3.29.0 to 3.30.0,27
Bump sphinx from 3.1.2 to 3.2.0,27
l10n: Portuguese (Brazil) update,27
update dependencies,27
Bump jquery-rails from 4.3.3 to 4.3.5,27
Bump src/watchmaker/static/salt/formulas/join-domain-formula,27
PR feedback,27
Various improvements,27
Update default.conf,27
qa_tests:,27
Fix the build,27
WebKit/mac:,27
[Security] Bump acorn from 6.4.0 to 6.4.1,27
Bug 57193: Add param and return tags to javadoc Bugzilla Id: 57193,27
Translated using Weblate (Punjabi),27
developing convergence on ecut,27
meta-vuplus: update bsp,27
Bump webpack from 4.43.0 to 4.44.0,27
Merge branch 'x86-cpu-for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/tip/tip,27
updated,27
Apply translations in pl,27
Jira UIMA-576: update version number in POMs etc.,27
Merge branch 'master' into 3531-taverna-integration,27
Merge remote-tracking branch 'mst/tags/for_anthony' into staging,27
Various changes,27
clean up,27
Translations: Weblate side updates (Russian),27
chore: set Ruby namespace in proto options,27
        Reviewed by mjs.,27
Apply translations in el,27
bugfix,27
refs #340,27
Bump Microsoft.NET.Test.Sdk from 16.1.0 to 16.1.1,27
Translation updated by Kees van den Broek.,27
Bump lodash from 4.17.19 to 4.17.20,27
Merge branch 'stable-2.6' into stable-2.7,27
Bump webpack from 4.42.1 to 4.43.0,27
Updated doc,27
trunk/:,27
build: Updating mediawiki/mediawiki-codesniffer to 16.0.0,27
UIMA-681,27
Merge branch 'master' of github.com:CederGroupMIT/pymatgen_repo,27
PEP8 fixes,27
Use static_cast instead of reinterpret_cast for downcasting,27
Fix flaky test,27
Update test expectations.,27
Remove unused function,27
Build(deps-dev): Update phpstan/phpstan-phpunit requirement,27
branches/feature/ (antanas@echidna) Syncing with trunk/. Merge command:,27
Bump :lang org,27
Bump webpack from 4.44.0 to 4.44.1,27
Cleanups,27
5273-app - BPartner REST-API,27
Bump better_errors from 2.5.0 to 2.5.1,27
Work more on getting things built with -Wimplicit-fallthrough.,27
Bump commons-io from 2.7 to 2.8.0,27
gdb/testsuite/,27
Merge branch 'for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/teigland/dlm,27
Implemented review comments,27
Merge branch '1.3' into merger,27
Bump pytest from 6.2.0 to 6.2.1,27
Bump prettier from 2.1.2 to 2.2.0,27
Changelog: 🚀,27
Bump eslint from 6.7.1 to 6.7.2,27
Merge branch 'x86-build-for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/tip/tip,27
Updated Brazilian Portuguese translation done by Raphael Higino,27
Bump pytest from 5.3.4 to 5.3.5,27
Bump rails-controller-testing from 1.0.4 to 1.0.5,27
Bump eslint from 7.7.0 to 7.8.1,27
Some renaming,27
Fix hacking min version to 3.0.1,27
LingoHub Update :rocket:,27
Translated using Weblate (Türkçe),27
maxytec: update bsp,27
[Security] Bump acorn from 5.7.3 to 5.7.4,27
maint: post-release administrivia,26
Merge drm/drm-next into drm-intel-next-queued,26
fix: upgrade multiple dependencies with Snyk,26
Solución de errores,26
Bump @babel/core from 7.8.3 to 7.8.4,26
Bump @babel/preset-env from 7.7.1 to 7.7.4,26
Merge branch 'develop' into feature/missing_app_view_widgets,26
Roll recipe dependencies (nontrivial).,26
Bump factory_bot_rails from 4.11.0 to 4.11.1,26
Update scylla-ami submodule,26
Merge remote-tracking branch 'remotes/stefanha/tags/net-pull-request' into staging,26
Bump capybara from 3.30.0 to 3.31.0,26
        Reviewed by Beth Dakin.,26
Use scoped_ptr::Pass instead of scoped_ptr::PassAs<T>.,26
Bump webmock from 3.7.4 to 3.7.5,26
l10n: French update,26
Drop use of 'oslo' namespace package,26
Bump @babel/preset-env from 7.9.5 to 7.9.6,26
Bump maven-jar-plugin from 3.1.2 to 3.2.0,26
Small changes,26
Remove discover from test-requirements,26
Fix unittest.,26
Merge branch 'akpm' (patches from Andrew Morton),26
Merge git://git.kernel.org/pub/scm/linux/kernel/git/agk/linux-2.6-dm,26
misc,26
Bump mockito-core from 2.28.2 to 3.0.0,26
Misc updates,26
Updates...,26
libfreeipmi/include/freeipmi/spec/oem:,26
Merge branch '15.06',26
XWIKI-3083: Develop the initial feature set for the Office Importer module,26
"Unreviewed, GTK test_expectations update.",26
pylint fixes,26
Small renaming [skip hazardlib],26
Pontoon: Update Romanian (ro) localization of AMO,26
Bump NQP,26
Bump @babel/core from 7.12.3 to 7.12.7,26
chore(deps): update dependency nyc to v14,26
remove dead code,26
Updated docstring [skip CI],26
l10n: Updated Russian (ru) translation to 99%,26
Merge git://git.kernel.org/pub/scm/linux/kernel/git/x86/linux-2.6-x86,26
Bump rspec-rails from 3.7.2 to 3.8.0,26
Merge branch 'branches/rudder/2.3',26
Update latest release,26
2007-11-24  Eric Seidel  <eric@webkit.org>,26
chore: setting untracked version [ci skip],26
Small fix [skip hazardlib] [demos],26
Expectations as a result of removing Skia code suppressions,26
Bump coverage from 5.2.1 to 5.3,26
Bump coverage from 5.2 to 5.2.1,26
"db/models, db/schema:",26
PDFBOX-545: Switch PDFBox build to Maven,26
Added a test [skip hazardlib],26
Fixed ucerf,26
5522-app - Commission calculation,26
Translated using Weblate (Español (España)),26
Tidy up,26
1999-09-11  Donn Terry  <donn@interix.com>,26
Update gem dependencies,26
Bump @babel/core from 7.10.3 to 7.10.4,26
Use ScopedTaskEnvironment instead of MessageLoop,26
Translated using Weblate (Bengali (India)),26
Merge remote-tracking branch 'origin/master' into visualize-oq-outputs,26
build: update release configuration,26
Update api-ref location,26
Bump pytest from 6.1.2 to 6.2.0,26
Bump puma from 4.3.1 to 4.3.3,26
OAK-1031: SegmentMK: Fewer segment lookups,26
Bump factory_bot_rails from 5.0.1 to 5.0.2,26
refs #290,26
merging,26
Bump sphinx from 3.2.0 to 3.2.1,26
"Revert ""Localisation updates from http://translatewiki.net.""",26
Merge branch 'v4l_for_linus' of git://git.kernel.org/pub/scm/linux/kernel/git/mchehab/linux-2.6,26
Unreviewed chromium test expectations update.,26
Merge branch 'master' into 2.4,26
octagon: update bsp,26
icon: update app icon,26
Fix some reST field lists in docstrings,26
Merge remote-tracking branch 'luiz/queue/qmp' into staging,26
Merge branch 'engine-api' of https://github.com/arangodb/arangodb into engine-api,26
Fixed comment [skip CI],26
Documentation,26
Fix some typos,26
Bump google-api-services-drive,26
chore(deps): bump node-fetch from 2.6.0 to 2.6.1,26
Updated Italian translation by Milo Casagrande.,26
Merge branch 'master' of git://github.com/materialsproject/pymatgen,25
I18n: Update translation is (98%).,25
[],25
Updated README.md,25
Merge branch 'for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/shaggy/jfs-2.6,25
Apply translations in nl,25
l10n: Initial Croatian (hr) translation,25
Merge branch 'akpm' (Andrew's patch-bomb),25
Translated using Weblate (Norsk bokmål),25
Bump capybara from 3.28.0 to 3.29.0,25
Replace six.iteritems() with .items(),25
l10n: Updated French (fr) translation to 99%,25
Merge branch 'dev' into python3,25
fix: Gemfile & Gemfile.lock to reduce vulnerabilities,25
Bug fixes.,25
Merge branch 'for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/jikos/livepatching,25
chore(deps): bump mixin-deep from 1.3.1 to 1.3.2,25
I18n: Update translation de (99%).,25
Bump eslint from 7.3.0 to 7.3.1,25
chore(deps): bump elliptic from 6.5.2 to 6.5.3,25
XWIKI-1745: Replace license headers in source files,25
Convert readthedocs link for their .org -> .io migration for hosted projects,25
IDEA-229503 Display javadoc rendered representation in editor,25
Update liburcu on AT next,25
review comments,25
build(deps): bump sorbet-runtime in /Library/Homebrew,25
Bump @babel/preset-env from 7.6.2 to 7.6.3,25
Bump @babel/core from 7.6.0 to 7.6.2,25
Bump dot-prop from 4.2.0 to 4.2.1,25
Switch from oslosphinx to openstackdocstheme,25
Fixed German translation by Jens Seidel <jensseidel@users.sf.net>.,25
Remove unreachable code,25
Modify o92util.f,25
Upgrade Apache Commons Collections to v3.2.2,25
Merge branch 'fixes' into fixes.quick,25
Bump pytest from 5.3.0 to 5.3.1,25
Fix OSS build,25
l10n: Hebrew update,25
Update pom.xml,25
Bump lodash from 4.17.10 to 4.17.15,25
OCA Transbot updated translations from Transifex,25
Merge remote-tracking branch 'bonzini/scsi-next' into staging,25
Bump mocha from 8.1.3 to 8.2.0,25
Bump database_cleaner from 1.8.3 to 1.8.4,25
Remove some dead code,25
Merge branch 'master' of https://github.com/mbkumar/pymatgen,25
Update expectations,25
Address PR feedback,25
Apply translations in sv,25
Merge branch 'mlx4',25
CUI,25
Bump @babel/preset-env from 7.10.3 to 7.10.4,25
Merge branch 'master' of github.com:biojava/biojava,25
build(deps): bump ini from 1.3.5 to 1.3.7,25
Merge branch 'master' into offline,25
Merge pilot.blaudden:/home/msvensson/mysql/mysql-5.0-maint into  pilot.blaudden:/home/msvensson/mysql/mysql-5.1-maint,25
Bump webmock from 3.7.2 to 3.7.3,25
Updated Spanish translation by Francisco Javier Fernandez,25
Bump maven-javadoc-plugin from 3.0.1 to 3.1.0,25
Merge branch 'ras-core-for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/tip/tip,25
I18n: Update translation el (98%).,25
chore: release,25
Bump @babel/core from 7.11.6 to 7.12.3,25
Bump @babel/core from 7.11.1 to 7.11.4,25
Bump @babel/core from 7.5.5 to 7.6.0,25
Various,25
2008-11-16  Geoffrey Garen  <ggaren@apple.com>,25
twitter-oss: Prepare OSS libraries for release,25
[INTERNAL] Translation delivery: commit by SLS,25
Minor fixes.,25
[NQP Bump] Brings 2 commits,25
Merge branch 'i2c/for-next' of git://git.kernel.org/pub/scm/linux/kernel/git/wsa/linux,25
Merge remote-tracking branch 'qemu-kvm/uq/master' into staging,25
BUG: trying to check for Bus error (issue #461),25
Update NLS translations,25
Update the latest release,25
UIMA-576,25
Bump webpack from 4.41.6 to 4.42.0,25
Bump @babel/preset-env from 7.11.5 to 7.12.1,25
Update changes.,25
git subrepo pull cucumber-expressions/java,25
Refactoring API,25
Removed unused code,25
Bump database_cleaner from 1.8.4 to 1.8.5,25
Bump pytest from 5.2.1 to 5.2.2,25
Merge branch '5.1' of github.com:gchq/stroom into dev,25
"Unreviewed, GTK gardening.",25
Roll DOM Distiller JavaScript distribution package,25
Update dev docs,25
Bump eslint-plugin-import from 2.22.0 to 2.22.1,25
Bump node-sass from 4.13.0 to 4.13.1,25
[stable/newrelic-infrastructure] Add priorityClassName  to DaemonSet (#14928),25
OAK-66: JCR Node Type Management,25
Update ISSUE_TEMPLATE.md,25
Merge branch 'master' of /home/wd/git/u-boot/custodians,25
Bump flake8 from 3.7.7 to 3.7.8,25
Accumulated commit of the following from branch 'origin/ready/jph-groups':,25
Update copyright year,25
Bump simplecov from 0.16.1 to 0.17.0,25
Bump webpack-cli from 3.3.10 to 3.3.11,24
I18n: Update translation zh_CN (99%).,24
misc fixes,24
tests/engine_test:,24
PDFBOX-366: License review,24
l10n: Uyghur translation,24
bump atc fly go-concourse,24
Bump mockito-core from 3.2.4 to 3.3.0,24
Misc. cleanup:,24
Merge branch 'master' of lioolli/pinpoint,24
Improved a docstring,24
Apply translations in hu,24
build: Updating mediawiki/mediawiki-codesniffer to 18.0.0,24
I18n: Update translation fi (99%).,24
Benjamin Meyer <bmeyer@trolltech.com>,24
Use base::BindOnce for PostTask callbacks.,24
Bump eslint from 6.5.1 to 6.6.0,24
Updated Norwegian (bokmal) translation.,24
Updated git submodules,24
Bump actions/checkout from v2.3.1 to v2.3.2,24
Bump @babel/preset-env from 7.6.3 to 7.7.1,24
Merge branch 'next' of git://git.monstr.eu/linux-2.6-microblaze,24
Bump webmock from 3.7.1 to 3.7.2,24
Apply translations in it,24
Update README.,24
Merge branch 'master' of https://github.com/thenewdynamic-org/thenewdynamic.org,24
Bump coverage from 5.0.3 to 5.0.4,24
Bump guava from 28.2-jre to 29.0-jre,24
Update requirements,24
Bump elliptic from 6.5.1 to 6.5.3,24
Optimize the link address,24
Bump webpack from 4.41.5 to 4.41.6,24
MDEV-26: Global transaction ID.,24
[ios] Convert loose images to imageset.,24
MDEV-4786 - merge 10.0-monty - 10.0,24
Bump pytest from 5.3.1 to 5.3.2,24
Fix for unused-lambda-capture warning,24
input/logictree:,24
Bump mockito-core from 3.4.4 to 3.4.6,24
fix test,24
pyflakes,24
Apply translations in ro,24
Random Battle updates,24
Bump flake8 from 3.7.9 to 3.8.1,24
Merge branch 'dev' into major,24
Merge branch 'for_linus' of git://git.kernel.org/pub/scm/linux/kernel/git/jack/linux-fs-2.6,24
Merge branch 'bugfix',24
fstools: update to latest git HEAD,24
[Security] Bump rails from 5.2.2 to 5.2.2.1,24
Merge branch 'upstream-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/jlbec/ocfs2,24
Remove translation sections from setup.cfg,24
Bump webmock from 3.3.0 to 3.4.0,24
Merge branch 'master' into iOS9,24
Bump mockito-core from 3.5.13 to 3.5.15,24
Bump typescript from 3.9.5 to 3.9.6,24
Merge branch 'work.misc' of git://git.kernel.org/pub/scm/linux/kernel/git/viro/vfs,24
Merge tag 'armsoc-fixes' of git://git.kernel.org/pub/scm/linux/kernel/git/soc/soc,24
qa_tests/hazard/disagg/case_1/test:,24
Bump prettier from 1.18.2 to 1.19.1,24
Translations: Weblate side updates (English),24
fix: .snyk to reduce vulnerabilities,24
Initial revision,24
chore(deps): update dependency typescript to ~3.4.0,24
JCR-2715: Improved join query performance,24
Replace assertRaisesRegexp with assertRaisesRegex,24
sorbet: update RBI files using Tapioca.,24
Bump eslint-config-prettier from 6.11.0 to 6.12.0,24
Remove unused files,24
Bump @babel/preset-env from 7.7.4 to 7.7.6,24
Bump webmock from 3.4.1 to 3.4.2,24
Merge branch 'gpaste-3.10',24
Version 3.2.0 ,24
Merge branch 'removing-ruptures-3' of git://github.com/gem/oq-engine into removing-ruptures-3,24
More tests,24
Merge branch 'mlx4-next',24
I18n: Update translation sk (99%).,24
Bump pry-byebug from 3.7.0 to 3.8.0,24
Bump pytest from 5.1.2 to 5.1.3,24
Bump factory_bot_rails from 5.2.0 to 6.0.0,24
Multiple changes,24
Merge branch 'for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/cooloney/blackfin-2.6,24
        Rubber-stamped by Mark Rowe.,24
        Reviewed by Chris,24
build(deps): bump third_party/cores/basejump_stl,24
- langpacks/english: update; - langpacks/russian: update;,24
Bump sshpk from 1.13.1 to 1.16.1,24
Merge master.kernel.org:/pub/scm/linux/kernel/git/gregkh/pci-2.6,24
Merge branch '1.2.x',24
Backport into build-201006221614-5.1.46sp1,24
l10n: Updated Polish (pl) translation to 99%,24
Bump jquery from 3.3.1 to 3.4.0,24
OAK-6089: update maven plugins,24
"Unreviewed, updating Chromium expectations.",24
Documentation update,24
Address reviews,24
Bump rake from 13.0.1 to 13.0.3,23
Merge branch 'master' into release,23
[Security] Bump rubyzip from 1.2.1 to 1.2.2,23
Update binutils on AT 14.0,23
OAK-4180 - Use another NodeStore as a local cache for a remote Document store,23
Merge branch 'master' of https://github.com/BuddyForms/BuddyForms,23
Merge branch 'for_linus' of git://git.kernel.org/pub/scm/linux/kernel/git/jwessel/linux-2.6-kgdb,23
Update the obsolete projects.kde.org URL,23
Translated using Weblate (Suomi),23
l10n: Updated Russian (ru) translation to 98%,23
Accumulated commit of the following from branch 'origin/ready/jph-198':,23
2007-10-15 Erik Hjortsberg  <erik.hjortsberg@iteam.se>,23
Merge branch 'tp33',23
Bump maven-enforcer-plugin from 3.0.0-M2 to 3.0.0-M3,23
Merge mysql.com:/home/gluh/MySQL/Merge/5.0-opt into  mysql.com:/home/gluh/MySQL/Merge/5.1-opt,23
i18n: Update translations from weblate,23
Merge branch 'master' of github.com:google/WebFundamentals,23
Bump @babel/preset-env from 7.12.10 to 7.12.11,23
Merge git://git.kernel.org/pub/scm/linux/kernel/git/sam/kbuild-fixes,23
Merge branch 'develop' of https://github.com/CenterForOpenScience/osf.io into feature/logout-users-before-merge,23
[Security] Bump dot-prop from 4.2.0 to 4.2.1,23
Bump mockito-core from 3.3.3 to 3.4.0,23
Read the description,23
Update the changelog.,23
Fixed all tests,23
Merge remote-tracking branch 'origin/tp31',23
Bump typescript from 3.9.3 to 3.9.5,23
Merge branch 'master' of git://github.com/awakecoding/FreeRDP,23
Merge branch 'stable-2.7' into stable-2.8,23
Translations: Weblate side updates (Ukrainian),23
Update python on AT 14.0,23
Update INSTALL.md,23
build: Updating mediawiki/minus-x to 0.3.2,23
Bump pytest from 5.1.3 to 5.2.0,23
doc: Fix typo.,23
Merge net branch into master,23
Merge branch 'staging' into production,23
Merge remote-tracking branch 'origin/2.7',23
5384-app - Catch Weight invoicing - WIP,23
refs #308,23
Merge branch 'master' into newresolver,23
Translations: Weblate side updates (Dutch),23
Update gdb on AT 12.0,23
Roll closure compiler,23
Bump the openstackdocstheme extension to 1.20,23
Sync parserTests with core.,23
"	reviewed by: Pavel Cisler  <pavel@eazel.com>",23
odhcpd: update to latest git HEAD,23
Refactor code,23
Bump pytest from 5.3.2 to 5.3.3,23
Reviewed by Eric Seidel.,23
Renaming classes ...,23
Unused imports,23
Bump Microsoft.NET.Test.Sdk from 16.0.1 to 16.1.0,23
l10n: Updated Spanish (Castilian) (es) translation to 99%,23
fix typos,23
Merge remote-tracking branch 'couchbase/alice',23
Bump webmock from 3.4.0 to 3.4.1,23
Bump rubocop from 0.80.0 to 0.80.1,23
Adjust expectations.,23
DOM,23
Bump maven-surefire-plugin from 2.22.1 to 2.22.2,23
Bump https-proxy-agent from 2.2.1 to 2.2.4,23
Portability fixes,23
Apply translations in ko,23
ci: remove deprecated jobs,23
Merge branch 'feature_campaigns' of git@gitea.intranda.com:goobi-viewer/goobi-viewer-core.git into feature_campaigns,23
Bump better_errors from 2.5.1 to 2.6.0,23
Update seeds,23
Prepare browser tests for NoRendererCrashesAssertion.,23
Merge branch 'master' into i18n,23
Bump rubocop from 0.80.1 to 0.81.0,23
Merge branch 'master' of github.com:apereo/cas,23
Bump @babel/preset-env from 7.5.5 to 7.6.0,23
Translated using Weblate (Gaelic),23
Bump @babel/preset-env from 7.10.2 to 7.10.3,23
        Reviewed by hyatt.,23
chore(release): 2.1.0 [skip ci],23
chore(release): 2.0.1 [skip ci],23
Updated documentation,23
build(deps): bump swagger-ui-dist in /modules/jooby-swagger-ui,23
Bump pytest from 5.4.3 to 6.0.1,23
Translations: Weblate side updates (Chinese (Simplified)),23
Update CHANGELOG,23
Bump rake from 13.0.0 to 13.0.1,23
Translated using Weblate (한국어),23
same here.,23
Merge remote-tracking branch 'ansgar/pu/multiarchive-2',23
Code review changes,23
UIMA-864,23
Bump @babel/core from 7.8.4 to 7.8.6,23
Remove unused code.,23
Bump @babel/core from 7.10.2 to 7.10.3,23
Bump typescript from 3.9.6 to 3.9.7,23
add flag for future Skia CL,23
Create CONTRIBUTING.md,23
Bump pytest from 5.4.3 to 6.0.0,23
Merge branch 'devel' of master.kernel.org:/home/rmk/linux-2.6-arm,23
pseries: Update SLOF firmware image,23
I18n: Update translation fi (97%).,23
Translated using Weblate (Bengali),23
Fix tests.,23
[Security] Bump extend from 3.0.1 to 3.0.2,23
build(deps): bump third_party/tools/zachjs-sv2v,23
I18n: Update translation fr (99%).,23
Fix build break.,23
Merge branch 'cassandra-1.2' into trunk,23
Update requirements.txt,23
Translation updated by Ivar Smolin.,23
# This is a combination of 2 commits. # This is the 1st commit message:,23
Bump eslint from 7.1.0 to 7.2.0,23
Merge branch 'master' into 2.3,23
typo fix,23
Merge branch 'develop' into feature/apps-v2,23
Merge from HEAD:,23
Build(deps): Update mimmi20/ua-display-size requirement,23
Bump pytest from 6.0.0 to 6.0.1,23
phonon script,23
refs #280,23
Merge tag 'fixes-for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/rusty/linux,23
cycle bots,23
Remove unnecessary casts,22
[security] Vulnerability in golang.org/x/text/encoding/unicode v0.3.2,22
Misc tweaks,22
Merge pull request #96108 from liggitt/revert-sys,22
Blacklist sphinx 2.1.0 (autodoc bug),22
Bump pytest from 5.2.4 to 5.3.0,22
Fixed an import,22
Nightly,22
Bump better_errors from 2.4.0 to 2.5.0,22
Pontoon: Update Norwegian Bokmål (nb-NO) localization of AMO Frontend,22
Correct reraising of exception,22
Fix:,22
        Reviewed by Kevin Decker.,22
Bump eslint-plugin-import from 2.20.1 to 2.20.2,22
Disable flaky test.,22
Merge branch 'master' of https://github.com/slidewiki/slidewiki-platform,22
Merge branch 'master' of http://cloud.finedevelop.com:2015/scm/visual/fineui,22
JCR-1878: Use Apache Tika for text extraction,22
l10n: Italian update,22
l10n: Updated German (de) translation to 0%,22
Bump coverage from 5.3 to 5.3.1,22
chore(release): 0.1.2 [skip ci],22
Merge git://git.kernel.org/pub/scm/linux/kernel/git/gregkh/tty-2.6,22
Bump @babel/core from 7.5.4 to 7.5.5,22
Fixed expected files,22
Merge branch 'msm-next' of git://people.freedesktop.org/~robclark/linux into drm-next,22
Apply translations in uk,22
Minor fix,22
Merge branch 'patch-3' into 'master',22
Merge branch 'rc-fixes' of git://git.kernel.org/pub/scm/linux/kernel/git/mmarek/kbuild,22
I18n: Remove broken / unsupported translations.,22
Bump babel-loader from 8.2.1 to 8.2.2,22
calcs/hazard/event_based/post_processing:,22
Merge branch 'version/2.4',22
Code clean up,22
Unreviewed. Build fix.,22
Jira UIMA-473: update version number to 2.2-incubating.,22
Merge branch 'master' of github.com:ekylibre/ekylibre,22
Merge remote-tracking branch 'remotes/mcayland/tags/qemu-openbios-signed' into staging,22
More monitoring,22
Merge branch 'for-linus' of git://oss.sgi.com:8090/xfs/xfs-2.6,22
Merge remote-tracking branch 'remotes/ehabkost/tags/x86-next-pull-request' into staging,22
Fixed doctest,22
Bump mocha from 7.1.2 to 7.2.0,22
Sync parserTests with core,22
Avoid deprecated methods,22
Merge branch 'HEAD' of git@github.com:Heigvd/Wegas.git,22
* **Pipeline:**,22
Update change log.,22
Bump simplecov from 0.18.1 to 0.18.2,22
Translated using Weblate (Uzbek),22
Merge branch 'master' of https://github.com/gbif/occurrence,22
Regenerated reports [skip CI],22
[skip CI] Merge branch 'master' of github.com:gem/oq-engine,22
Merge bluetooth branch into master,22
Update binutils on AT 13.0,22
More cleanup [skip hazardlib],22
[Security] Bump rubyzip from 1.2.3 to 1.3.0,22
Bump puma from 4.2.1 to 4.3.0,22
Bump pytest from 5.3.3 to 5.3.4,22
Merge tag 'for-linus' of git://git.armlinux.org.uk/~rmk/linux-arm,22
Bump actions/checkout from v2.3.2 to v2.3.3,22
I18n: Update translation sk (98%).,22
Merge branch 'pm-sleep',22
        Reviewed by Geoffrey Garen.,22
build(deps): bump @testing-library/user-event in /web,22
Merge gleb.loc:/home/uchum/work/bk/5.0-opt into  gleb.loc:/home/uchum/work/bk/5.1-opt,22
Applying InnoDB snashot 5.1-ss6129,22
chore(deps): bump websocket-extensions from 0.1.3 to 0.1.4,22
[FEATURE] Option to build & install QCH file with the public API dox,22
Bump js-yaml from 3.12.1 to 3.13.1,22
Update Makefile,22
Merge branch 'micro' into maint,22
Merge branch 'master' of github.com:topliceanu/learn,22
Fixed a few tests,22
Bump @babel/core from 7.10.5 to 7.11.0,22
Update azuredeploy.json,22
Updated Vietnamese translation,22
Added new features / Bug fixed,22
Merge pull request #95692 from markusthoemmes/bump-azure-adal,22
Bump sphinx from 3.0.4 to 3.1.0,22
chore(release): publish modules,22
Remove classifier for Python 3.4 for end-of-life. (#7535),22
Remove usage of no-op macro DEFINE_WEB_STATE_USER_DATA_KEY.,22
Fixed import,22
Remove unnecessary base::Passed() with base::BindOnce(),22
Merge remote-tracking branch 'couchbase/3.0.x' into sherlock,22
Reviewed by Eric.,22
Merge pull request #96549 from caesarxuchao/net-sys-dep-update,22
DB/Misc:,22
matroska: refactor code common to matroskademux and matroskaparse,22
Bump nokogiri from 1.10.3 to 1.10.4,22
Plug a memory leak.,22
Merge pull request #96076 from caesarxuchao/update-deps,22
Merge remote branch 'drkranz/master' into merge,22
qa_tests/_utils:,22
[flang] Address review comments,22
Merge branch '#119_ui_bug_fix' of emeroad/pinpoint-opensource,22
JCR-2762: Optimize bundle serialization,22
Bump factory_bot_rails from 5.0.2 to 5.1.0,22
Update to latest release,22
Bump rails from 6.0.3.1 to 6.0.3.2,22
Merge branch 'next' of git://git.kernel.org/pub/scm/linux/kernel/git/jmorris/linux-security,22
[Security] Bump rails from 5.2.1 to 5.2.1.1,22
Merge branch 'develop' of git@gitea.intranda.com:goobi-viewer/goobi-viewer-core.git into develop,22
More fixes [skip CI],22
Merge branch 'develop' of https://github.com/JC5/firefly-iii into develop,22
Fix test.,22
Updated dependencies,22
Regenerated expected files [skip hazardlib],22
Update Klog dependency,22
Merge remote-tracking branch 'membase/3.0.1',22
Pylint,22
Bump mockito-core from 3.5.11 to 3.5.13,22
Use testharness.js instead of js-test.js in LayoutTests/fast/canvas tests.,22
Bump prettier from 2.1.0 to 2.1.1,22
Bump sphinx from 3.1.1 to 3.1.2,22
Update min tox version to 2.0,22
"Replace RemoveWithoutPathExpansion(.*, nullptr) with Value::RemoveKey()",22
Fix up some raw types,22
Better monitoring [skip CI],22
doc: python bindings howto,22
chore(deps-dev): bump eslint from 7.10.0 to 7.11.0,22
Update gcc on AT 11.0,22
Some minor cleaning up.,22
chore(deps-dev): bump eslint from 7.14.0 to 7.15.0,22
Roll BoringSSL.,22
Bump coverage from 5.0.4 to 5.1,22
developing errorhandlers for submission system related problems.,22
Backport into build-200909221805-5.1.37sp1,22
[Security] Bump lodash from 4.17.11 to 4.17.15,22
More monitoring [skip CI],22
Bump mockito-core from 3.5.10 to 3.5.11,22
Merge branch 'master' of https://github.com/TrinityCore/TrinityCore into 4.3.4,22
Remove redundant code,22
Merge branch 'master' of https://github.com/CORE-POS/IS4C,22
Bump maven-resources-plugin from 3.1.0 to 3.2.0,22
Updated,22
Bump pytest-cov from 2.8.1 to 2.9.0,22
v4l-utils: sync-with-kernel,22
Updated client library documentation URLs. (#7307),22
Merge remote-tracking branch 'origin/KDE/4.13',22
tests/input/logictree_test:,22
Merge master.kernel.org:/pub/scm/linux/kernel/git/gregkh/driver-2.6,22
Bump eslint from 7.7.0 to 7.8.0,22
Merge branch 'develop' of https://github.com/WestCoastInformatics/OTF-Mapping-Service into develop,22
Fixed engine_test.py,22
Java7 multiple exception catching,22
Fix some CPI URLs,22
Merge master.kernel.org:/pub/scm/linux/kernel/git/bart/ide-2.6,22
Bump eslint from 6.3.0 to 6.4.0,22
Apply translations in bg,22
Bump jacoco-maven-plugin from 0.8.4 to 0.8.5,22
Bump pytest from 5.2.0 to 5.2.1,22
Bump Microsoft.CodeAnalysis.FxCopAnalyzers from 3.3.0 to 3.3.1,22
Removed unused imports,22
Bump mockito-core from 3.5.15 to 3.6.0,22
minor #32786 add parameter type declarations to private methods (xabbuh),22
Merge branch 'master' of https://github.com/gem/oq-engine,22
Bump rubocop from 0.89.1 to 0.90.0,22
Merge branch 'develop' into my-cw,22
Bump spring from 2.0.2 to 2.1.0,22
