repo_name,commit,subject,message_without_subject,multiple_parents,Is_Summary,Is_Generic,Category,Comment,Certain,Labler,Sampling,distance,administrative_pred
etcd-io/etcd,37d3d20211c56042df2314a338e161fec164bcf1,doc: add etcd3 watch benchmark doc,"

The primary goal of this doc is to confirm the memory
consumption of watch is as expected. Each connection
consumes O(10kb) of memory. Each stream consumes O(10kb)
of memory. Each watching consumes < O(1kb) of memory.

Then when you have a large number of watching with small
number of connections and streams, the ave memory consumption
per watch will be O(1kb).
",False,,,,,,,comsum_random_batch_12_july_2021,-1,False
guillep/pharo-core,81bc38ffe1e65032b7c3f70275b87c8e5abd374b,This adds a nameIsReserved: check to ReservedVariable plus a test.,"

The idea is to use that in the compiler and e.g. when we check variable name validity. If we do that, we can add new Reserved Variables by just adding a subclass.

(this is not as simple to do to use it in Slot class as it has implications for dependencies, ReservedVariable is for now in the compiler package,
therefore this PR does not do that change yet. The Compiler change will be done im combination with removing all hard-coded references to the variable names)",False,,,,,,,comsum_random_batch_12_july_2021,-1,False
eclipsesource/tabris-js-cli,6499c885bdb214607d8df5e6c2475fe367f0bd2c,Let preloader use relative paths on iOS when evaluating code,"

The Module.execute method requires a URL to associate the evaluated code
with for stack traces. In 3.4 this was changed to be the absolute path
of the file on the developer-machine to support the Android debugger.
However, on windows these paths are not valid URLs, which iOS can't
handle. Therefore revert to using the relative unix-like paths on iOS.

Change-Id: I8d8bd85570410d5c4b8475f384b4b5c0b19fd167
",False,,,,,,,comsum_random_batch_12_july_2021,356,False
wireapp/wire-webapp,c8e7d7a8851839f3da2e3ae0ade04ca6be603f7b,chore(deps-dev): bump @typescript-eslint/eslint-plugin from 2.1… (#8176),"

Bumps [@typescript-eslint/eslint-plugin](https://github.com/typescript-eslint/typescript-eslint/tree/HEAD/packages/eslint-plugin) from 2.11.0 to 2.19.0.
- [Release notes](https://github.com/typescript-eslint/typescript-eslint/releases)
- [Changelog](https://github.com/typescript-eslint/typescript-eslint/blob/master/packages/eslint-plugin/CHANGELOG.md)
- [Commits](https://github.com/typescript-eslint/typescript-eslint/commits/v2.19.0/packages/eslint-plugin)

Signed-off-by: dependabot-preview[bot] <5bdcd3c0d4d24ae3e71b3b452a024c6324c7e4bb@dependabot.com>",False,,,,,,,comsum_random_batch_12_july_2021,469,False
facebookexperimental/eden,04af973ac18cb832a1fff6c5ecb1164c3255aaf0,Updating submodules,"

Summary:
GitHub commits:

https://github.com/facebook/fbthrift/commit/d7a15a265b1bd6caa1a758d2abcf99667faf36a4
https://github.com/facebook/folly/commit/0ea411666667c9073738c33ed54df1529366093d
https://github.com/facebook/wangle/commit/d5a9ad62b74e371cc10d55bf2686a178ffb94ee5
https://github.com/facebookincubator/profilo/commit/3d5b14c79c5dcafb1dafc742e71a9e2ebf66d91c

Reviewed By: zpao

fbshipit-source-id: 9bc0fbb3cd67243f396322c199710743eed1921f
",False,,,,,,,comsum_random_batch_12_july_2021,-1,False
Juniper/contrail-controller,a6a41d23f4938f0df021c578ce90414d5c1f8f8f,Bring back many bgp and xmpp unit tests to run under gperf profiler,"

gperftools libtcmalloc.a helps to detect memory leaks. It was turned off for
some of the unit tests. It is now enabled for most except for these two.

src/bgp:bgp_xmpp_inetvpn_test Takes more than 15 mins to complete under gperf
src/bgp:graceful_restart_test Never progresses much under gperf

Some of the test timers and loops have been made to be less aggressive so that
they run and complete even when run under gperf memory profiler

Also added an option to task_util::WaitForIdle() to not to fail the test if
scheduler never becomes empty. In some of the busy integration tests such as
graceful_restart_test, scheduler always remains busy due to timers and IO
activities

TODO: Bring the two excluded tests to also run under gperf

Change-Id: I1c6183ea5bde7290754ae84f9a06bc19a3616917
Partial-Bug: #1464121
",False,,,,,,,comsum_random_batch_12_july_2021,739,False
metamath/set.mm,81c682cf977987a8d739bd19079199d7e9b80f41,Add reuss2 to reupick2 to iset.mm,"

This is the short section ""Restricted uniqueness with difference,
union, and intersection of two classes"" from set.mm. It verifies
without modification.
",False,,,,,,,comsum_random_batch_12_july_2021,-1,False
openstack/nova,cdfb7891492c219c786b5b38ac1b598f0d2edd50,Code change for nova support glance ipv6 address,"

This code change is for nova can parse glance api servers which is
IPv6 address correctly, also make sure nova commands can be run
successfully in pure ipv6 environment, such as 'nova image-list'
and 'nova boot' command.

Fixes bug 1182830

Change-Id: Ia71002c7038b820db7a63f7d6892e76de4743d8d
",False,,,,,,,comsum_random_batch_12_july_2021,243,False
lnls-dig/openMMC,e5cfa701dec00b993d846b2ce54caa579b7c92d1,Include light-weigth printf functions,"

We needed sprintf function in order to facilitate building the debug
strings.
Its preferable to use DEBUG_MSG macro instead of ""printf"" implementation
here for now
",False,,,,,,,comsum_random_batch_12_july_2021,-1,False
tprrt/linux-stable,829ddec922e51ad2740f16646ce701314d9aa509,btrfs: only clear EXTENT_LOCK bit in extent_invalidatepage,"

extent_invalidatepage() will try to clear all possible bits since it's
calling clear_extent_bit() with delete == 1.

This is currently fine, since for btree io tree, it only utilizes
EXTENT_LOCK bit.  But this could be a problem for later subpage support,
which will utilize extra io tree bit to represent additional info.

This patch will just convert that clear_extent_bit() to
unlock_extent_cached().

For current code since only EXTENT_LOCKED bit is utilized, this doesn't
change the behavior, but provides a much cleaner basis for incoming
subpage support.

Reviewed-by: Nikolay Borisov <142453373c3b88d8ff81b1a9e73f7ad113f58c91@suse.com>
Signed-off-by: Qu Wenruo <668a4a6da3341b25f8dc67d6a1b3c7eba3092599@suse.com>
Reviewed-by: David Sterba <a2ce9d316ca04d17b520237d2846a218b8284e52@suse.com>
Signed-off-by: David Sterba <a2ce9d316ca04d17b520237d2846a218b8284e52@suse.com>
",False,,,,,,,comsum_random_batch_12_july_2021,565,False
puppylinux-woof-CE/woof-CE,997954bdebb023d6fe3e166148917f28b3b246ee,functions4puppy: don't offer to migrate to a new cd when the current one is full,"

this is not compatible with a uefi live cd

instead just tell the user to run remasterpup2 to create a new ISO file
and use burniso2cd to burn the ISO to a new cd/dvd..
",False,,,,,,,comsum_random_batch_12_july_2021,-1,False
nwjs/chromium.src,da735f7b2104037c3b85a4aa0eba31982def4fb0,Unflag Audio Output Devices API in Blink.,"

Intent to ship:
https://groups.google.com/a/chromium.org/forum/#!topic/blink-dev/ELz4SxMwa0U

BUG=547091

Review URL: https://codereview.chromium.org/1545933002

Cr-Commit-Position: 972c6d2dc6dd5efdad1377c0d224e03eb8f276f7@{#368581}
",False,,,,,,,comsum_random_batch_12_july_2021,164,False
tprrt/linux-stable,9060d5cf5200c37dd23f5502bd7c3ccadce04a5f,Bluetooth: Restrict loading of link keys to BR/EDR capable controllers,"

Loading link keys into a LE only controller make no sense. The kernel
would never use any of these keys. So instead of allowing userspace
to waste memory, reject such operation with a not supported error
message.

Signed-off-by: Marcel Holtmann <44592b4eea36663c86b994bb0ea99d15309c1c7d@holtmann.org>
Signed-off-by: Johan Hedberg <628991c7b0a19c384f9b99c21ec330ce952bb838@intel.com>
",False,,,,,,,comsum_random_batch_12_july_2021,216,False
nwjs/chromium.src,db6c75352cc43bea5e98a97784bced977689026d,Fix crash when removing extra baselines,"

When trying to removing extra baselines during baseline optimization,
it seems not necessary the file has existed. If not, the program will
crash at self._filesystem.remove(filename).

Just encountered the error when rebaselining locally. The rebaseline
succeeded with this patch.

Review-Url: https://codereview.chromium.org/2005913002
Cr-Commit-Position: 972c6d2dc6dd5efdad1377c0d224e03eb8f276f7@{#395390}
",False,,,,,,,comsum_random_batch_12_july_2021,284,False
emberjs/ember-inspector,64eb544b174654cd57db7e69488af159d16cdf2b,Bump @glimmer/component from 1.0.1 to 1.0.2,"

Bumps [@glimmer/component](https://github.com/glimmerjs/glimmer.js) from 1.0.1 to 1.0.2.
- [Release notes](https://github.com/glimmerjs/glimmer.js/releases)
- [Changelog](https://github.com/glimmerjs/glimmer.js/blob/v1.0.2/CHANGELOG.md)
- [Commits](https://github.com/glimmerjs/glimmer.js/compare/v1.0.1...v1.0.2)

Signed-off-by: dependabot-preview[bot] <5bdcd3c0d4d24ae3e71b3b452a024c6324c7e4bb@dependabot.com>",False,,,,,,,comsum_random_batch_12_july_2021,317,False
google/llvm-propeller,4e54ef888363555e259969e406fa18426169b187,"[MachineOutliner][NFC] Add findRepeatedSubstrings to SuffixTree, kill LeafVector","

Instead of iterating over the leaves to find repeated substrings, and walking
collecting leaf children when we don't necessarily need them, let's just
calculate what we need and iterate over that.

By doing this, we don't have to save every leaf. It's easier to read the code
too and understand what's going on.

The goal here, at the end of the day, is to set up to allow us to do something
like

for (RepeatedSubstring &RS : ST) {
 ... do stuff with RS ...
}

Which would let us perform the cost model stuff and the repeated substring
query at the same time.

llvm-svn: 346269
",False,,,,,,,comsum_random_batch_12_july_2021,-1,False
Jasig/uPortal-start,84820b6ffb69f563afd5319931da6235e4cc8fe3,Fixes bug if all mktplce screenshot urls are bad,"

If all screenshot urls when invoked do not return
200 response codes for a portlet, the page will
no longer throw an exception.
",False,,,,,,,comsum_random_batch_12_july_2021,-1,False
pgjdbc/pgjdbc,7b454355939aebd995b1b79598a1e945c168eb68,fix: pginterval to take iso8601 strings (#1612),"

* fix: pginterval to take iso8601 strings

* use integers for seconds and microseconds all tests passed
",False,,,,,,,comsum_random_batch_12_july_2021,-1,False
projectestac/agora_moodle2,bd9b502ac6ac070e528c14f1a351e41ce350c9a9,MDL-65170 core_user: fix behat for viewing full profile,"

Users belonging to the same course with separate groups forced
will only be able to find their contacts or other users on the
same group.
",False,,,,,,,comsum_random_batch_12_july_2021,-1,False
samba-team/samba,e49802a02df6b624e4667e1ca375e5cb57df3fa9,s4-kdc/db-glue: use krb5_copy_data_contents in samba_kdc_message2entry_keys().,"

Guenther

Signed-off-by: Günther Deschner <43d3eca42d0f0dd2d0eedd4268aa3e31b36c5583@samba.org>
Reviewed-by: Stefan Metzmacher <f1988b9e977fc98ae4b41148d1c7fe6accb829c3@samba.org>
",False,,,,,,,comsum_random_batch_12_july_2021,12,True
open-eid/DigiDoc4-Client,f038a4553f3923f1959defbb9283742b20101120,Resize text area to fit translations (#744),"

IB-6397

Signed-off-by: Hans Niinemäe <8800578b51f022c8d8adb9606a8b3db4fedbdac6@raulwalter.com>

Co-authored-by: Hans Niinemäe <8800578b51f022c8d8adb9606a8b3db4fedbdac6@raulwalter.com>",False,,,,,,,comsum_random_batch_12_july_2021,13,True
neos/flow-development-collection,2a99f8d6b13bf80dcf5a162d53422fd029348d29,Merge pull request #38 from martin-helmich/bugfix/flow-362-2.3,"

[BUGFIX] Class loader includes some files twice

For some reason, the FLOW class loader includes some files twice.

This especially occurs when a Composer dependency declares an autoload file that contains function definitions (one example for a package like that being guzzlehttp/promises).

This commit fixes this issue by replacing include with include_once.

Fixes: FLOW-362",True,,,,,,,comsum_random_batch_12_july_2021,-1,False
neos/media,6b18fe562b3c3f0edf57c524eccf3fd3b44bfaba,Remove Asset::getAssetSource() from API and initialize lazily,"

The getAssetSource() method is not needed (anymore) and therefore
should not become part of a public API.
",False,,,,,,,comsum_random_batch_12_july_2021,-1,False
nwjs/chromium.src,e33920797943e123825f343b07d2d40a71067af0,Rebaselining the scrollbar layout tests. They are failing because of font size differences.,"

Review URL: http://codereview.chromium.org/17372

git-svn-id: de016e52bd170d2d4f2344f9bf92d50478b649e0@7947 0039d316-1c4b-4281-b951-d872f2087c98
",False,,,,,,,comsum_random_batch_12_july_2021,52,False
tomatau/breko-hub,85bf7bd8b9bcab99700a450fd0d3a24ea309ecf2,Migrated to new React-helmet API (#120),"

* Migrated to new React-helmet API

* engine update to node v6.10 and readme update

* oops! forgot to update node version in circle.yml
",False,,,,,,,comsum_random_batch_12_july_2021,-1,False
tprrt/linux-stable,fbbcdc0744dace5fcc8147d11c5fb0791126848a,intel_pstate: skip the driver if ACPI has power mgmt option,"

Do not load the Intel pstate driver if the platform firmware
(ACPI BIOS) supports the power management alternatives.
The ACPI BIOS indicates that the OS control mode can be used
if the _PSS (Performance Supported States) is defined in ACPI
table. For the OS control mode, the Intel pstate driver will be
loaded.

HP BIOS has several power management modes (firmware, OS-control and
so on). For the OS control mode in HP BIOS, the Intel p-state driver
will be loaded. When the customer chooses the firmware power
management in HP BIOS, the Intel p-state driver will be ignored.

I put hw_vendor_info vendor_info in case other vendors (Dell, Lenovo...)
have their firmware power management. Vendors should make sure their
firmware power management works properly, and they can go for adding
their vendor info to the variable.

I have verified the patch on HP ProLiant servers.  The patch worked
correctly.

Signed-off-by: Adrian Huang <45ba10ad493783847cf0ad7678c6ae0616873aae@gmail.com>
[rjw: Fixed up !CONFIG_ACPI build]
[Linda Knippers: As Adrian has recently left HP, I retested the
updated patch on an HP ProLiant server and verified that it is
behaving correctly.  When the BIOS is configured for OS control for
power management, the intel_pstate driver loads as expected.  When
the BIOS is configured to provide the power management, the
intel_pstate driver does not load and we get the pcc_cpufreq driver
instead.]
Signed-off-by: Linda Knippers <d6d70de6864f5c9e67a8da0bd9b4f667b8364fd1@hp.com>
Signed-off-by: Rafael J. Wysocki <27ffc44a8ec6a212fba98cfc3246c6ce8ab131e0@intel.com>
",False,,,,,,,comsum_random_batch_12_july_2021,907,False
cooperative-computing-lab/cctools,a11f2f07b0f1dcf107ac2611e787b749955566cf,bug fix: worker does not get passed the same -C option as the pool. Only the hostname part is passed.,"

This was caused by the parsing catalog server string function not keeping the source string intact. This bug might come out of code cleaning up because worker pool's -C option used to work fine.



git-svn-id: 84ac6e8aeda2e0dc10052004e2f406aa3e6d6545@2457 a4d8336d-3463-0410-8bba-c098c45d37a8
",False,,,,,,,comsum_random_batch_12_july_2021,200,False
Homebrew/brew,6139ea708659871184df9a3356f00f13c42397f2,build(deps): bump concurrent-ruby in /Library/Homebrew,"

Bumps [concurrent-ruby](https://github.com/ruby-concurrency/concurrent-ruby) from 1.1.6 to 1.1.7.
- [Release notes](https://github.com/ruby-concurrency/concurrent-ruby/releases)
- [Changelog](https://github.com/ruby-concurrency/concurrent-ruby/blob/master/CHANGELOG.md)
- [Commits](https://github.com/ruby-concurrency/concurrent-ruby/compare/v1.1.6...v1.1.7)

Signed-off-by: dependabot-preview[bot] <5bdcd3c0d4d24ae3e71b3b452a024c6324c7e4bb@dependabot.com>",False,,,,,,,comsum_random_batch_12_july_2021,362,False
SupSuper/OpenXcom,824d35d4f67cadffe79845f601a258715ef5f19b,change how fire speed works,"

this si a big one folks, it'll invalidate your old fire speed settings,
make sure you re-set your fire speed in the menus, or expect projectiles
to move at an undesired speed.
",False,,,,,,,comsum_random_batch_12_july_2021,-1,False
tprrt/linux-stable,c0967ce0a7388fa8818f5529897140f4f7ec8543,ARM: tegra: harmony: enable keyboard in DT,"

Enable Tegra based keyboard interfacing for keys and provide
all key mapping through DTS file.

Signed-off-by: Laxman Dewangan <8ef6cd53fa4ede16d655e2562b753173823989c1@nvidia.com>
Signed-off-by: Stephen Warren <5ef2a23ba3aff51d1cfc8c113c1ec34b608b3b13@nvidia.com>
",False,,,,,,,comsum_random_batch_12_july_2021,98,False
chromium/chromium,32550fffc372673f6b9b05b6f838fb39e038f270,Optimize AudioParam if some events are in the future,"

If the first event in the timeline starts after the current
render quantum and the event is a setTarget, setValue, or
setValueCurve, we don't need to do sample-accurate processing
because they haven't started yet.

Bug: 1013539
Change-Id: If62c6c0e12b8f76c5f3d6db6216c929c775c39ed
Reviewed-on: https://chromium-review.googlesource.com/c/chromium/src/+/1856874
Reviewed-by: Andrew MacPherson <e961140b5e0c97dde61c51cd2ab0bd6392863fe3@soundtrap.com>
Commit-Queue: Raymond Toy <8bfe1d4d524148da457d86cf65faec1480dbba03@chromium.org>
Cr-Commit-Position: 972c6d2dc6dd5efdad1377c0d224e03eb8f276f7@{#706930}
",False,,,,,,,comsum_random_batch_12_july_2021,230,False
htcondor/htcondor,12076cf519f49f592f65f1045ed4fbe77b5ae6b9,Don't allocate fd_sets in Selector when using poll(). #5986,"

Avoid allocating and initializing fd_sets in the Selector class until
needed (when a second fd is added and we thus decide to use select()
instead of poll()).
",False,,,,,,,comsum_random_batch_12_july_2021,-1,False
qgis/QGIS,97615515c5e595f15483ec722ca63723801a2bd0,Remove plugin builder code,"

Plugin builder is an external plugin which is maintained very well through the plugin repository, while the script in here lacks this attention.
The script in here is targetted at C++ code in which plugins are nowadays very rarely written (and doing so is even discouraged) and if someone still wants to do that he will likely just copy another existing C++ plugin as template.
",False,,,,,,,comsum_random_batch_12_july_2021,-1,False
ManageIQ/manageiq-ui-classic,7283d95ecab0a505f7da4521fabad59ecbff0d0b,Clean up network_router textual_summary and add missing cross-links,"

Clean up network_router textual_summary and add missing cross-links
(transferred from ManageIQ/manageiq@a67a6266808db5fc47c4300214e35b53dbc6f841)
",False,,,,,,,comsum_random_batch_12_july_2021,-1,False
cucumber/cucumber,f675a501cd7db0c63e80184b3dc916df887ee02e,git subrepo push cucumber-expressions/java,"

subrepo:
  subdir:   ""cucumber-expressions/java""
  merged:   ""ecaf281b""
upstream:
  origin:   ""https://github.com/cucumber/cucumber-expressions-java.git""
  branch:   ""master""
  commit:   ""ecaf281b""
git-subrepo:
  version:  ""0.4.0""
  origin:   ""https://github.com/ingydotnet/git-subrepo""
  commit:   ""db54757""
",False,,,,,,,comsum_random_batch_12_july_2021,-1,False
facebookincubator/create-react-app,325e59972601647ef87dbd4590c358a1ae27f562,fix(test): force install npm in e2e-behaviour (#8402),"

This will fix e2e-behaviour on macos

Related: https://github.com/npm/cli/issues/611#issuecomment-575287540",False,,,,,,,comsum_random_batch_12_july_2021,-1,False
nwjs/chromium.src,7feffc244432e1a36980538498c984010151d098,Simplify checking for whether we should rubberband or not when at the edge https://bugs.webkit.org/show_bug.cgi?id=77131,"

Reviewed by Beth Dakin.

We only need to check once if we're pinned at either edge whether we should rubber-band
or not. Do this when the wheel event phase is PlatformWheelEventPhaseBegan. This lets us
remove a bunch of code that would keep track of the current horizontal scroll direction.

* platform/mac/ScrollAnimatorMac.h:
(ScrollAnimatorMac):
* platform/mac/ScrollAnimatorMac.mm:
(WebCore::ScrollAnimatorMac::ScrollAnimatorMac):
(WebCore::ScrollAnimatorMac::handleWheelEvent):
(WebCore::ScrollAnimatorMac::beginScrollGesture):

git-svn-id: bf5cd6ccde378db821296732a091cfbcf5285fbd@106031 bbb929c8-8fbe-4397-9dbb-9b2b20218538",False,,,,,,,comsum_random_batch_12_july_2021,536,False
tprrt/linux-stable,5f04c4cfcc92c4de7453037ed2549a96f63ec5a0,arm64: dts: exynos: Add dtsi files for Samsung Exynos5433 64bit SoC,"

This patch adds new Exynos5433 dtsi to support 64-bit Exynos5433 SoC
based on Octa-core CPUs (quad Cortex-A57 and quad Cortex-A53).
Exynos5433 supports PSCI (Power State Coordination Interface) v0.1.

This patch includes following Device Tree nodes to support Exynos5433 SoC:
1. Octa cores for big.LITTLE architecture
- Cortex-A53 LITTLE Quad-core
- Cortex-A57 big Quad-core
- Supporting PSCI v0.1

2. Clock controller nodes
- CMU_TOP   : clocks for IMEM/FSYS/G3D/GSCL/HEVC/MSCL/G2D/MFC/PERIC/PERIS
- CMU_CPIF  : clocks for LLI (Low Latency Interface)
- CMU_MIF   : clocks for DRAM Memory Controller
- CMU_PERIC : clocks for UART/I2C/SPI/I2S/PCM/SPDIF/PWM/SLIMBUS
- CMU_PERIS : clocks for PMU/TMU/MCT/WDT/RTC/SECKEY/TZPC
- CMU_FSYS  : clocks for USB/UFS/SDMMC/TSI/PDMA
- CMU_G2D   : clocks for G2D/MDMA
- CMU_DISP  : clocks for DECON/HDMI/DSIM/MIXER
- CMU_AUD   : clocks for Cortex-A5/BUS/AUDIO
- CMU_BUS{0|1|2} : clocks for global data buses and global peripheral buses
- CMU_G3D   : clocks for 3D Graphics Engine
- CMU_GSCL  : clocks for GSCALER
- CMU_APOLLO: clocks for Cortex-A53 Quad-core processor.
- CMU_ATLAS : clocks for Cortex-A57 Quad-core processor,
              CoreSight and L2 cache controller.
- CMU_MSCL  : clocks for M2M (Memory to Memory) scaler and JPEG IPs.
- CMU_MFC   : clocks for MFC (Multi-Format Codec) IP.
- CMU_HEVC  : clocks for HEVC(High Efficiency Video Codec) decoder IP.
- CMU_ISP   : clocks for FIMC-ISP/DRC/SCLC/DIS/3DNR IPs.
- CMU_CAM0  : clocks for MIPI_CSIS{0|1}/FIMC_LITE_{A|B|D}/FIMC_3AA{0|1} IPs.
- CMU_CAM1  : clocks for COrtex-A5/MIPI_CSIS2/FIMC_LITE_C/FIMC-FD IPs.

3. Pinctrl nodes for GPIO
- alive/aud/cpif/ese/finger/fsys/imem/nfc/peric/touch pad

4. Timers
- ARM architecture timer (armv8-timer)
- MCT (Multi Core Timer) timer

5. Interrupt controller (GIC-400)

6. BUS devices
- HS-I2C (High-Speed I2C) device
- SPI (Serial Peripheral Interface) device

7. Sound devices
- I2S bus
- LPASS (Low Power Audio Subsystem)

8. Power management devices
- CPUFREQ for for Cortex-A53/A57
- TMU (Thermal Management Unit) for Cortex-A53/A57, G3D, ISP

9. Display controller devices
- DECON (Display and enhancement controller) for panel output
- DSI (Display Serial Interface)
- MIC (Mobile Image Compressor)

10. USB
- USB 3.0 DRD (Dual Role Device) controller
- USB 3.0 Host controller

11. Storage devices
- MSHC (Mobile Storage Host Controller)

12. Misc devices
- UART devices
- ADC (Analog Digital Converter)
- PWM (Pulse Width Modulation)
- ADMA (Advanced DMA) and PDMA (Peripheral DMA)

Signed-off-by: Chanwoo Choi <42eed19c0f56a8d487deac90c6d19d6364b7ba73@samsung.com>
Signed-off-by: Jaehoon Chung <6d67df43a1b10a02c7c04e8346f9d9ca207335e5@samsung.com>
Signed-off-by: Seung-Woo Kim <f0452ad01023e1e19deb03356bab8e3b5dbc61a6@samsung.com>
Signed-off-by: Joonyoung Shim <b2207686f8c5343cf0f505ae1d5720ecb0c3202a@samsung.com>
Signed-off-by: Inki Dae <bae4a7a27bbc965064e97edd6e179ac4979db440@samsung.com>
Signed-off-by: Jonghwa Lee <41b6036433e5f6e320aceb7f1267c6aae8cab431@samsung.com>
Signed-off-by: Beomho Seo <ce2a41f9f009f107a073e180c26112c5c77570c4@samsung.com>
Signed-off-by: Jaewon Kim <46422ecff6e7a995393cb59d2a1bf2c564384889@samsung.com>
Signed-off-by: Hyungwon Hwang <5f743690db7c4e8ef24ca54e281a6e5d4c877f93@samsung.com>
Signed-off-by: Inha Song <d6c650623f363ed62322fe8357f16e8d396f732a@samsung.com>
Signed-off-by: Ingi kim <838aecfe219bfb781c49a582b14b18ef826130e9@samsung.com>
Signed-off-by: Marek Szyprowski <2a0259761cc3e88db42be5300c1579a67c77e65e@samsung.com>
Signed-off-by: Andrzej Hajda <dcc2b772defa18622a340d324a717fd6b8ee2807@samsung.com>
Signed-off-by: Sylwester Nawrocki <1ca386fdc5066df13f7236f0837f22126191d06b@samsung.com>
Reviewed-by: Javier Martinez Canillas <828c1a17681e8566a17a1a4801ea67306010b273@osg.samsung.com>
Tested-by: Andi Shyti <730f48b65cb994ef8c85dd191ee408179ee755b5@samsung.com>
Signed-off-by: Krzysztof Kozlowski <207922aea7c6c304bf821a3c657354765d4ec2a5@kernel.org>
",False,,,,,,,comsum_random_batch_12_july_2021,2536,False
universal-ctags/ctags,c0b8e967dbce21560c102a15ca4ea95d5297e4bd,misc/review: don't use pygmentize when an input file starts with an empty line,"

TODO: This is a workaround. If this is a bug of pygmentize, we must report it.

Signed-off-by: Masatake YAMATO <bdfff7006d3a5967c7c741d652a74f5445442e11@redhat.com>
",False,,,,,,,comsum_random_batch_12_july_2021,82,False
tprrt/linux-stable,fe5c5fbad0790f14907679bae29889d47b75456e,arm: omap boards: Remove unnecessary platform_enable/disable callbacks for VENC devices,"

The omap_dss_device's platform_enable/disable callbacks don't do anything for
any of the boards. The platform calls from the VENC driver will also be removed
in the future. Remove these calls from the board which have a VENC device.

Signed-off-by: Archit Taneja <49f60fff7e48ce8acf4d32f930e8060f85030a2d@ti.com>
Cc: Tony Lindgren <1001e8702733cced254345e193c88aaa47a4f5de@atomide.com>
Acked-by: Igor Grinberg <9e6f8d6081ce24a2c1d8f777071cb7290aaf46a3@compulab.co.il>
",False,,,,,,,comsum_random_batch_12_july_2021,236,False
dorkster/flare-engine-next,c63c4aea481cb80fb9399f8771372a2ec37178cd,Give CUSTOM_DATA_PATH priority over PATH_USER,"

This gives use the following levels of priority:

1. Path given at command line with --data-path=...
2. The user's local data directory (""~/.local/share/flare"" on Linux)
3. A ""mods"" directory in the same directory as the executable
4. A system-wide installation, such as ""/usr/share/flare""
",False,,,,,,,comsum_random_batch_12_july_2021,-1,False
rathena/rathena,7a3b3e5a8c972369296b5b3fc7ea833a020352ab,Merge pull request #1216 from rathena/hotfix/issue1214,"

Updated stack logic in atcommand item2
* Resolves shadow equipment stacking.
* Cleaned up how pet eggs are created.
Thanks to @julia40124009 and @Lemongrass3110!",True,,,,,,,comsum_random_batch_12_july_2021,-1,False
cerner/terra-core,86f34219e729c63757423b6c66e5f9c063ce83af,hookshot unmount cleanup (#957),"

* Update disableListener logic to no longer reply on the target being present, as circumstances can arise with the target being removed before the hook shot is unmounted.

* Update changeling.
",False,,,,,,,comsum_random_batch_12_july_2021,-1,False
rnwood/smtp4dev,eda9df5bc52231f6b733acba5de348eb5513fce3,Bump System.Configuration.ConfigurationManager from 4.5.0 to 4.6.0,"

Bumps [System.Configuration.ConfigurationManager](https://github.com/dotnet/corefx) from 4.5.0 to 4.6.0.
- [Release notes](https://github.com/dotnet/corefx/releases)
- [Commits](https://github.com/dotnet/corefx/commits)

Signed-off-by: dependabot-preview[bot] <5bdcd3c0d4d24ae3e71b3b452a024c6324c7e4bb@dependabot.com>",False,,,,,,,comsum_random_batch_12_july_2021,223,False
tprrt/linux-stable,79d458bf47431675c6b38ea95ecfc31abd502eee,"Merge branches 'pci/host-exynos', 'pci/host-rcar' and 'pci/amd-numa' into next","

* pci/host-exynos:
  PCI: exynos: Remove unnecessary OOM messages

* pci/host-rcar:
  PCI: rcar: Add gen2 device tree support
  PCI: rcar: Add R-Car PCIe device tree bindings
  PCI: rcar: Add MSI support for PCIe
  PCI: rcar: Add Renesas R-Car PCIe driver
  PCI: rcar: Use new OF interrupt mapping when possible

* pci/amd-numa:
  x86/PCI: Clean up and mark early_root_info_init() as deprecated
  x86/PCI: Work around AMD Fam15h BIOSes that fail to provide _PXM
  x86/PCI: Warn if we have to ""guess"" host bridge node information
",True,,,,,,,comsum_random_batch_12_july_2021,-1,False
nwjs/chromium.src,3125ca55d73650bd37ce9d9daa3dfe5182a7cf3a,Add UMA to track software fallback in VTVideoDecodeAccelerator.,"

VideoToolbox can fall back to software internally for two reasons:
  1) The resolution is below the minimum (or other format incompatibility). Eventually we want Chromium to handle
fallback in this case.
  2) The sandbox was not initialized properly. This we want to know about and fix.

This CL does not distinguish the two cases.

BUG=133828

Review URL: https://codereview.chromium.org/773673002

Cr-Commit-Position: 972c6d2dc6dd5efdad1377c0d224e03eb8f276f7@{#306692}
",False,,,,,,,comsum_random_batch_12_july_2021,402,False
camunda/camunda-bpm-platform,797db61783427e380d9c74b5ab7fea3973fac118,fix(qa/it): use correct settings for TestContainer,"

- use glassfish as label instead of glassfish-servlet to lookup
  dependencies
- add common logging dependency for jboss-servlet

related to #CAM-5566
",False,,,,,,,comsum_random_batch_12_july_2021,-1,False
GNOME/gegl,63415e22cb0a018deeeefe2d308f8530ff96663e,fixed bug with black abyss to the left of non some buffers.,"

* gegl/buffer/gegl-buffer.c:
(gegl_buffer_iterate): fixed bug with black abyss to the left of
non some buffers.
(resample_bilinear_u8): moved 8bit 3 component into a special
case to allow the compiler to more agressivly optimize it.

svn path=/trunk/; revision=1172
",False,,,,,,,comsum_random_batch_12_july_2021,-1,False
