repo_name,commit,message,Is_Core_Adaptive,Is_Adaptive,Justification,Certain,Comment,Sampling
tprrt/linux-stable,d5406284ff803a578ca503373624312770319054,"ACPI: PM: s2idle: Refine active GPEs check

The check for any active GPEs added by commit fdde0ff8590b (""ACPI:
PM: s2idle: Prevent spurious SCIs from waking up the system"") turns
out to be insufficiently precise to prevent some systems from
resuming prematurely due to a spurious EC wakeup, so refine it
by first checking if any GPEs other than the EC GPE are active
and skipping all of the SCIs coming from the EC that do not produce
any genuine wakeup events after processing.

Link: https://bugzilla.kernel.org/show_bug.cgi?id=206629
Fixes: fdde0ff8590b (""ACPI: PM: s2idle: Prevent spurious SCIs from waking up the system"")
Reported-by: Ondřej Caletka <b816faa87b7d35274d2e545c5be11ed4376f3ccf@caletka.cz>
Tested-by: Ondřej Caletka <b816faa87b7d35274d2e545c5be11ed4376f3ccf@caletka.cz>
Cc: 5.4+ <4fbacc2fa0ffdbb11bf1ad6925b886ebd08dd15f@vger.kernel.org> # 5.4+
Signed-off-by: Rafael J. Wysocki <27ffc44a8ec6a212fba98cfc3246c6ce8ab131e0@intel.com>
",,,,,,12_may_2021_mp_not_adaptive_commits_batch_1
symfony/symfony,b912af92613c3dc256ab5515cca46c9b10223e3a,"Merge branch '5.1'

* 5.1:
  Fix typo
  Fix deprecated libxml_disable_entity_loader
  Add Tagalog translations for validator messages 94, 95, 96 and 99
  PHPUnit's assertContains() performs strict comparisons now.
  [ClassLoader][Routing] Fix namespace parsing on php 8.
  Fix deprecated libxml_disable_entity_loader
  Made reference to PHPUnit\Util\XML::loadfile php5-compatible.
  [Validator] Add missing translations for german and vietnamese
  Modernized deprecated PHPUnit assertion calls
  [Console] The message of ""class not found"" errors has changed in php 8.
  The PHPUnit\Util\XML class has been removed in PHPUnit 9.3.
  [Console] Make sure we pass a numeric array of arguments to call_user_func_array().
  Remove outdated references from base_js.html.twig file
  [String] We cannot have a ""provides"" function in test cases.
  Typo: somes styles fixed
  [Serializer] Fix that it will never reach DOMNode
  [Validator] sync translations
  [VarDumper] Improve previous fix on light array coloration
  [Cache] Fix #37667
",,,,,,12_may_2021_mp_not_adaptive_commits_batch_1
couchbase/cbgt,e5e79d98e44675a172e4e3c79d6b99c02924e3d5,"MB-20205 - recycle buffers in MsgRing

Some profiling of cbft showed that lots of memory was being allocated
by the MsgRing, so this change provides some buffer recycling.

A simple approach of two levels (small vs large) are used for the
recycling pools.

Change-Id: I7dad6aff721440fd3be8e93d7b9c0b3f68027a9d
Reviewed-on: http://review.couchbase.org/68067
Reviewed-by: Marty Schoch <ba9951d7d66412e2a57aea395f01176a793cf5eb@gmail.com>
Tested-by: Steve Yen <ef850f73f7832052d3c6d9b5ddd3a1716d9a57f1@gmail.com>
",,,,,,12_may_2021_mp_not_adaptive_commits_batch_1
stackforge/solum,f35e792a16c7a96f245b65c1a59b49a711b80738,"[workaround]Let solum work without logging

This a workaround, we should add the logging setup back.

Change-Id: I4b63e178bfe10a3c76d3fc4b2a97e8cbe74fcc5d
",,,,,,12_may_2021_mp_not_adaptive_commits_batch_1
apache/arrow,97592802b97762d35565defdc589e4a7b11d980a,"ARROW-9858: [Python][Docs] Add user guide for filesystems interface

Closes #8065 from jorisvandenbossche/ARROW-9858-filesystem-docs

Authored-by: Joris Van den Bossche <36c737f86d71d8ee1ddeb1e5c83102ee5de8f97c@gmail.com>
Signed-off-by: Antoine Pitrou <9359a4d812173b65a3a0094cd86363e79731a3c2@python.org>
",,,,,,12_may_2021_mp_not_adaptive_commits_batch_1
zulip/zulip,eb53b5e8defdc7cd3b5590c625d018bddce854e4,"webpack: Use cache-loader for various loaders.

Profiling shows that using cache-loader saves ~6-7 seconds of time take
by webpack-dev-server on subsequent runs. The overhaul this adds when
nothing is cached (when running first time) is around 1-2 seconds. We don't
use cache loader for ts-loader since webpack docs says it will slow it down
and file-loader since it just copies files over and caching it would just
was disk space.

Profiling data:

-------- Master ---------

~/zulip (master) $ tools/webpack --watch | ts -s '%.S' # master
03.995825 ℹ ｢wds｣: Project is running at http://127.0.0.1:9994/
03.996161 ℹ ｢wds｣: webpack output is served from /webpack/
03.996289 ℹ ｢wds｣: Content not from webpack is served from ...
19.284477 ℹ ｢wdm｣:
19.285371 ℹ ｢wdm｣: Compiled successfully.

-------- cache-loader ---------

~/zulip (cache-loader)$ tools/webpack --watch | ts -s '%.S'
04.107913 ℹ ｢wds｣: Project is running at http://127.0.0.1:9994/
04.108646 ℹ ｢wds｣: webpack output is served from /webpack/
04.109068 ℹ ｢wds｣: Content not from webpack is served from ...
12.633782 ℹ ｢wdm｣:
12.634083 ℹ ｢wdm｣: Compiled successfully.
",,,,,,12_may_2021_mp_not_adaptive_commits_batch_1
nwjs/chromium.src,51eeec6a3fcdb833e81fa8cc73165613a997009d,"[root-layer-scrolling] Fix compositing overlap test

When RLS is turned on, children of the root layer now have a composited
scrolling ancestor. This causes them to use their unclipped bounding
rects to test overlap. It turns out overlap testing inside composited
scrollers is somewhat buggy (https://crbug.com/783532).

In order to prevent regressing existing behavior, this CL makes an
exception for children whose composited scrolling ancestor is the root
layer. In that that case, we use the clipped rects. This is necessary so
that overlap testing is performed against other clipped rects (see
comments in OverlapMap::Add for how clipped vs unclipped comparisons
work).

However, since the root layer is now a scrolling layer, this would
break overlap testing for boxes that are offscreen. This CL
additionally makes overlap test-related clipping ignore the root layer
so that the clipped_absolute_bounding_box for the root layer is actually
unclipped, as pre-RLS. The newly added test covers this case.

Bug: 783532

Cq-Include-Trybots: master.tryserver.chromium.linux:linux_layout_tests_root_layer_scrolls;master.tryserver.chromium.linux:linux_layout_tests_slimming_paint_v2
Change-Id: I5e302f3f29775d829b94593e8053025c5da0f980
Reviewed-on: https://chromium-review.googlesource.com/742506
Reviewed-by: Steve Kobes <c12d2e6511cc03740f7c5bf724a292cf5ae24793@chromium.org>
Reviewed-by: Chris Harrelson <f23dd81ade77a021a9f8915543e6fc85b5c3c65d@chromium.org>
Reviewed-by: Philip Rogers <a58f385838635509f9b282a11e4b3bef85543d5f@chromium.org>
Commit-Queue: David Bokan <9e5676d47d19eb72262e56b54b7e780c7d70af34@chromium.org>
Cr-Commit-Position: 972c6d2dc6dd5efdad1377c0d224e03eb8f276f7@{#517835}",,,,,,12_may_2021_mp_not_adaptive_commits_batch_1
google/iree,5b05c0b41cb18564d9978f93028c10c4a6adae20,"Remove memref of index from IREE

This is against the MLIR spec and they're trying to add the enforcement back. There's an ongoing discussion about relaxing this constraint (https://groups.google.com/a/tensorflow.org/forum/#!topic/mlir/P49hVWqTMNc), but for now we should follow the spec.

PiperOrigin-RevId: 272514453
",,,,,,12_may_2021_mp_not_adaptive_commits_batch_1
nwjs/chromium.src,bd8ac0b42ea508a8768d3453431dbfbbe5c4dab0,"Handle early ServiceRequest errors in shell::ServiceContext

Sets an error handler immediately when binding ServiceContext's
ServiceRequest. This means Service::OnStop() may be invoked
without first receiving Service::OnStart().

Docs updated accordingly, and MojoShellConnectionImpl changed to
destroy its ConnectionFilter instances in OnStop().

This eliminates a race condition where a child process might not
detect an IPC Channel error in case of early browser process
exit.

BUG=623396

Review-Url: https://codereview.chromium.org/2257693003
Cr-Commit-Position: 972c6d2dc6dd5efdad1377c0d224e03eb8f276f7@{#413002}
",,,,,,12_may_2021_mp_not_adaptive_commits_batch_1
nwjs/chromium.src,7c7a2ac892ad5377c3e25b26cba0c74c9be4c59a,"Build a Bridge to Eddystone Encoder in Components

This change links the Eddystone Encoder in components to the android
Physical Web Share feature through the Java Native Interface.

Add Platform Independent Eddystone Encoder

This change creates an eddystone encoder in cpp, which can be used
across platforms for future physical web projects. Right now,
specifically, it will be used for Physical Web Sharing. Here are the
eddystone specs:
https://github.com/google/eddystone/blob/master/protocol-specification.md

BUG=685856

Review-Url: https://codereview.chromium.org/2753683002
Cr-Commit-Position: 972c6d2dc6dd5efdad1377c0d224e03eb8f276f7@{#458214}
",,,,,,12_may_2021_mp_not_adaptive_commits_batch_1
ansible/ansible,4224dd1acb4f324a54d7769b2ac98a92c8f4e569,"Rework docker module states.

Organize each state into a distinct function for readability and composability.
Rework `present` to create but not start containers. Add a `restarted` state
to unconditionally restart a container and a `reloaded` state to restart a
container if and only if its configuration is incorrect. Store our most recent
knowledge about container states in a ContainerSet object. Improve the value
registered by this task to include not only the inspect data from any changed
containers, but also action counters in their native form, a summary message
for all actions taken, and a `reload_reasons` key to store a human-readable
diagnostic to determine why each container was reloaded.
",,,,,,12_may_2021_mp_not_adaptive_commits_batch_1
42ity/fty-core,32fba864ee9ec177c9be227604c4785d5d1dd143,"Problem: need to maintain routing info from cli script

Solution: add fty-route command, which manipulates with interfaces file
using autgtool (like REST API).

Signed-off-by: Michal Vyskocil <2b7ea182d0b58d21ea6743100786898a051d1921@eaton.com>
",,,,,,12_may_2021_mp_not_adaptive_commits_batch_1
rpm-software-management/libhif,9f6219f83f0654912a218c6491244c1122c27241,"change the Yum repo loading API.

the main problem with the old API is that it seems like the client can invoke
the writing/loading functions for main/filelist/presto datatypes in an arbitrary
order while in fact he can not (for instance, things go wrong in libsolv if one
loads the entire repository, then filelists, then write the cache file and then
tries to load everything back from the cache.).

The new approach relies on a single function and flags to specify the
precise operation. Hawkey handles the ordering of the operation. This
seemingly takes away some of the flexibility, like deciding to load
filelists or prestodelta at a later time. Some of these mechanisms might
still be added. Unittests testing specificities of the old API have been
removed for now.

The new API is also extensible with a flag forcing e.g. filelists to only
be loaded on demand.

In practice at this point (current practices of Fedora packaging sometimes
need full filelists for resolving, libsolv being best tuned for loading
everything from cache very fast but filelists load from .xml is very
slow), anything but preparing the cache with all extensions once and then
reusing it as long as possible makes little sense.
",,,,,,12_may_2021_mp_not_adaptive_commits_batch_1
debops/debops,611bbe9a947b9a6ef7fc3203a982011dcc749d83,"Use `state` for `unattended_upgrades__(blacklist|origins).*`. Drops `when`.

Internals:

* Reworked Jinja templates to remove most of the redundant code.

Related to: https://github.com/debops/ansible-apt_preferences/issues/12
",,,,,,12_may_2021_mp_not_adaptive_commits_batch_1
nwjs/chromium.src,121e6138b0b543c38ec66cf0033af96dc75b49a0,"Refactor configuration of sandboxes - first steps

See
https://docs.google.com/document/d/1H-hCsIcMsAEP0fWHimbuiNA-Hc9eXEmR94eb-2RQAhA/edit?usp=sharing
for background.

This moves all process type dependent decisions on how to create
Linux processes (not how to sandbox them once created, not Android)
into the launch delegates and makes the arguments to the
ChildProcessLauncher constructor and
BrowserChildProcessHostImpl::Launch OS independent.

BUG=none

Review URL: https://codereview.chromium.org/177863002

git-svn-id: de016e52bd170d2d4f2344f9bf92d50478b649e0@256802 0039d316-1c4b-4281-b951-d872f2087c98
",,,,,,12_may_2021_mp_not_adaptive_commits_batch_1
pingcap/pd,af843d14758091cd59033c938188bbd241f7c2d4,"server/cache: reorganize the cache (#359)

* server/cache: hide regions in clusterInfo

regionsInfo will be rewrote later, we should not access it directly.

* server/cache: reorganize the cache

First, stores and regions are reorganized so that we can easily access
the information we need.

Second, the algorithm to handle region heartbeat is modified
accordingly, to handle Split and Merge.

It's hard to handle Split and Merge perfectly to keep the cache always
reflecting the newest information about which region is serving which
range. But we can keep the cache always updating according to the region
heartbeat.

Here's how we handle region heartbeat. First, if the region does not
exist, it is added to the cache directly. Second, if the region exists
but the heartbeat is stale, an error will be returned. Finally, if the
region exists and the heartbeat is not stale, it is updated to the
cache. Additionaly, every time a region is added or updated, all range
overlap regions will be deleted from the search tree first, and then
the region will be inserted. Note that regions deleted from the search
tree can still be found by the region id.
",,,,,,12_may_2021_mp_not_adaptive_commits_batch_1
oracle/terraform-provider-baremetal,de00ee08630017e2707537cfd23c6fa641b025c4,"Fix resource discovery file and path handling issues on Windows and add export argument validation

- On Windows, you have to close a file handle before renaming it.
- Path separators were assuming Unix-style forward slashes. Change the separators to be OS-agnostic.
",,,,,,12_may_2021_mp_not_adaptive_commits_batch_1
erdc/proteus,2e8d3fbae4023c042efa1b9fdd89adf069ab376f,"Fenton waves for WaveTools (#707)

* Fenton waves script for WaveTools (dependencies: ncurses)

* WT and setup.py modified for Fenton script

* added John Fenton to list CONTRIBUTORS.md with his permission

* WT: added autoFenton switch and opts dict
",,,,,,12_may_2021_mp_not_adaptive_commits_batch_1
sanity-io/sanity,a6cd923609c9fb11fd70642f8e6a16c583e8f1c2,"[components] Pass down scroll container as context (#349)

* [components] Adding context scroll container

* [components] Removing use of scrollContainer, and use context

* [form-builder] Support for ScrollContainer in form-builder full screen

* [components] ScrollContainer fallback and cleanup

* [components] Scrollcontinaer scroll method Overlay

* [components] Remove closing logick from sticky

* [components] Use escapeable on dropdownbutton

* [components] Adding removeEventListener on scrollContainer

* [components] Cleanup sticky

* [components] Fix dropdownbutton position bug

* [components] Kebab-case scroll-container part

* [components] More robust detection of getScrollContainer context

* [components] ScrollContainer use this.handleScroll for scroll event
",,,,,,12_may_2021_mp_not_adaptive_commits_batch_1
ServUO/ServUO,c0f976365249e422eabad921fa72ccea994aa2dc,"Update DisintegratingThesisNotes.cs

Need to revert this one key being blessed.

The problem is on EA they ARE blessed but just appear on the corpse. The way we have loot drops, blessed items will not drop on the corpse this way.

Reverting until a better system is discovered.",,,,,,12_may_2021_mp_not_adaptive_commits_batch_1
dotnet/roslyn,c36bdc24478599db8fc044713d2a3354a8c9f348,"Move the repo to newer version of FxCop and Roslyn analyzers (2.3.0-beta1)

Enable few more rules and fix issues identified these rules.

Also added issue IDs for the disabled rules due to lack of a fixer/fix all experience.
",,,,,,12_may_2021_mp_not_adaptive_commits_batch_1
GNOME/gdm,4e8abee68746f7305a604aad72d3ee4de45d25dd,"Updated Indonesian translation, now done by Dicky Wahyu Purnomo

2004-11-25  Mohammad DAMT  <mdamt@bisnisweb.com>

	* id.po: Updated Indonesian translation, now done by Dicky Wahyu Purnomo <dicky.wahyu@massaint.or.id>
",,,,,,12_may_2021_mp_not_adaptive_commits_batch_1
tprrt/linux-stable,68bab8662f49b9e158f1d32f11becd4e48c04079,"mfd: twl6040: Optional clk32k clock handling

In certain boards the source for the clk32k clock can be gated. In these
boards the clk32k clock can be provided to the driver and it is going to be
enabled/disabled when it is needed.
If the clk32k clock is not provided the driver will assume that it is always
running.

Signed-off-by: Peter Ujfalusi <e5c0b4cdf99ae1d408b9c497159e74b54e02e008@ti.com>
Signed-off-by: Lee Jones <630e34333487a351a857f6b705e04d30b37c1629@linaro.org>
",,,,,,12_may_2021_mp_not_adaptive_commits_batch_1
TID-Lab/aggie,4c82e9d2e9bc94df15116ff50eee78e481b14895,"Update docker rules

* openssl command is no longer interactive (there's no way to interact
  with command line tools in docker)
* No longer using forever (so the container doesn't quit)
* Builds the image locally, since we don't have a good image up online
* The database does not try to share data on the host
* mongo uses 27020 now so it doesn't conflict with a mongo instance on
  the host.
",,,,,,12_may_2021_mp_not_adaptive_commits_batch_1
WikiEducationFoundation/WikiEduDashboard,d22fa2041aec57ce34fd61d7f0b02da1848941ea,"In training index, emphasize the most relevant library

This adds variant styling for a logged in user, based on their most recent course, so that the training index emphasizes the set of training modules that are relevant for their course. This will hopefully cut down on cases of users taking the wrong version of an assigned training module — students vs professional development.
",,,,,,12_may_2021_mp_not_adaptive_commits_batch_1
elogind/elogind,316e8d849fc1d34b61d27f2967e0ede84fe9f46d,"Introduce elogind-uaccess-command to replace uaccess builtin.

The uaccess udev builtin command is only used by logind and contains
functionality only implemented in logind. As such, while we cannot
write udev-builtin commands in elogind (not being udev), we can write
standalone binaries and rewrite our udev rules to use them instead.

This fixes the feature of granting users access to devices using a user
ACL which is toggled only when the user is associated with an active
session. Currently this functionality is half broken, as while the ACL
is granted and revoked while VT-switching, it is not granted to new
devices as they are plugged in. This issue is fixed by this commit.
",,,,,,12_may_2021_mp_not_adaptive_commits_batch_1
TrinityCore/TrinityCore,cbba22ba6809caf4e9272d8c601756ec0323cc05,"Core/SAI: Fix assertion triggered in SmartScript

Remove assertion in SmartScript added in b8625f41bd6131e7fb3ff126780da18d5d2959fd and handle SmartScripts with GetBaseObject() returning NULL , like SmartTrigger . In this case SmartScript::mTargetStorage cannot be sanitized and might contain references to free'd WorldObjects if the script doesn't last a single Map::Update() call.
",,,,,,12_may_2021_mp_not_adaptive_commits_batch_1
twbs/bootstrap,e5fa7084910c3ad68232c4580f4e2dd5a4c3fad1,"v5: Add .fs-* utilities for font-size and rename font-weight/-style utilities (#30571)

* v5: Add .fs-* utilities for font-size

- Adds new font-sizes Sass map
- Generates six new classes for setting only font-size
- Updates docs to mention this, including a scss-docs reference

* Update font utilities

- Make .fs-* utils for font-size use RFS
- Rename .font-weight-* utils to .fw-*
- Rename .font-style-* utils to .f-*
- Update order of utilities a bit
- Update docs to match

* Update migration docs to make note of these changes

* Be more specific in font-size docs about scale

* Update font-style abbreviation to .fst

* Fix font-weight property

* Formatting & font style utility fix

* Move to Alpha 3 migration section

* Update migration guide for more details, splitting alpha 2 stuff back to the appropriate section in Migration guide

* Tweak language on example

Co-authored-by: Martijn Cuppens <eb1e95cd7406bd48b9f875e0ae2b2d93fd22c202@gmail.com>",,,,,,12_may_2021_mp_not_adaptive_commits_batch_1
nwjs/chromium.src,ea47b6a802638fa18df618d5ba71dc4b5b3b4c48,"Introduce ui.dll / libui.so for the component build.

R=ben@chromium.org
Review URL: http://codereview.chromium.org/7328011

git-svn-id: de016e52bd170d2d4f2344f9bf92d50478b649e0@92819 0039d316-1c4b-4281-b951-d872f2087c98
",,,,,,12_may_2021_mp_not_adaptive_commits_batch_1
opendaylight/netvirt,20849f22ccac3c3f94c01fa3068080ee22e2b75b,"Partial fix for remoteNextHop

1. Adds flows at time of interface creation. No need to add tunnel
interface to any vpn instance.
2. Removes some superflous code
3. Adds retry mechanism: https://git.opendaylight.org/gerrit/20370

Change-Id: I17da5ade46d73abfa22878de2ccbad37803b2e8a
Signed-off-by: Vishal Thapar <c3b9ed89c5d07264fd87799167335bf2ad91936e@ericsson.com>
",,,,,,12_may_2021_mp_not_adaptive_commits_batch_1
grivet/dpdk,a5cf3924a78cc4e629cc03b6ede6ecb1a72d3369,"eal: remove zombie symbols

test_mp_secondary was initially added by mistake.
rte_snprintf has been removed.

Fixes: 9d41beed24b0 (""lib: provide initial versioning"")
Fixes: 3185322809c1 (""eal: remove rte_snprintf"")

Signed-off-by: Thomas Monjalon <ee2fa8b2681c737f775687e475dcbf2028a412f1@6wind.com>
",,,,,,12_may_2021_mp_not_adaptive_commits_batch_1
nwjs/chromium.src,c5599b5a7236e5ac4c9f1c285c50a79e241c1e2a,"Add some missing ES3 enums to the validator

BUG=429053

Review URL: https://codereview.chromium.org/1223813010

Cr-Commit-Position: 972c6d2dc6dd5efdad1377c0d224e03eb8f276f7@{#337982}
",,,,,,12_may_2021_mp_not_adaptive_commits_batch_1
wongsyrone/lede-1,bb51193acd4e1046fe731199a19b46ffcd461de5,"kernel/4.4: add missing newline character to UBI messages

A few UBI messages lacks the trailing newline character which
leads to ugly lines in the bootlog like this:

  [    6.649159] UBI error: no valid UBI magic found inside mtd6[    6.667751] Freeing unused kernel memory: 2196K

Add a newline character to the end of the messages to fix it.
After the fix the line from above looks better in the log:

  [    6.609182] UBI error: no valid UBI magic found inside mtd6
  [    6.627599] Freeing unused kernel memory: 2132K

Signed-off-by: Gabor Juhos <0b85b0feb94c9a44e8676965f48a70291ba74edb@freemail.hu>
",,,,,,12_may_2021_mp_not_adaptive_commits_batch_1
dockstore/dockstore-ui2,684659f2156bb011314f93da13185477c0cee3b9,"Basically checker workflow's launch command change (#231)

* Basically reverting a7f3ccd0def0319d077a751834a61281fbfe6a87

* Add verb to checker command

* Add temporary checker workflow convert command
",,,,,,12_may_2021_mp_not_adaptive_commits_batch_1
airtower-luna/mod_gnutls,c22af3a4a9a00120650e51197adc6a32a55f64e6,"Handbook: List Berkeley DB and GDBM as equal options for DBM caches

Some major Linux distributions do not provide APR libraries with GDBM
support, so it doesn't really make sense to list it as
""recommended"". Debian only VERY recently enabled it in unstable [1].

[1] https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=843206
",,,,,,12_may_2021_mp_not_adaptive_commits_batch_1
mercadopago/px-android,3d04a8d225267d101543793d130660a2d1e4a772,"[Feature] Tracking back BankDealsActivity (#1552)

* New MVP without providers.
* TrackView Refactor.
* Track back added.
* BankDealsPresenterTest added.",,,,,,12_may_2021_mp_not_adaptive_commits_batch_1
GNOME/pygobject,83ff5938612d37d52f112867a472777dd6786d69,"gi/__init__.py: Pacify pep8 style checker

It was complaining about finding only 1 blank line.  Regression
likely introduced by f976d05b.

https://bugzilla.gnome.org/show_bug.cgi?id=686991
",,,,,,12_may_2021_mp_not_adaptive_commits_batch_1
savoirfairelinux/ring-client-macosx,e521a1847e506000101b734dac69b7972033eb5a,"support ""transfer unjoinable"" status to messagesVC

add ""TRANSFER_UNJOINABLE_PEER"" status to the transfer messages

Change-Id: I5eaf35bc6dba4be615a9d84d98c6a42107031236
Reviewed-by: Andreas Traczyk <3521bc9a3776264f71e79fe2ef5e853676c9b78a@savoirfairelinux.com>
",,,,,,12_may_2021_mp_not_adaptive_commits_batch_1
tprrt/linux-stable,f91f1806530d065b90718598fbe2fad426732418,"ALSA: hda: Add Intel NUC5i7RY to the power_save blacklist

Power-saving is causing a humming sound when active on the Intel
NUC5i7RY, add it to the blacklist.

BugLink: https://bugzilla.kernel.org/show_bug.cgi?id=199607
Signed-off-by: Hans de Goede <9fa1be1a5b5729e4c6b404f34c9ce49ff4882fd8@redhat.com>
Signed-off-by: Takashi Iwai <4596b3305151c7ee743192a95d394341e3d3b644@suse.de>
",,,,,,12_may_2021_mp_not_adaptive_commits_batch_1
symfony/http-foundation,dbdf364adcb8b705fd0744f9340b88d3ebe9990f,"Merge branch '2.4'

* 2.4:
  removed unneeded use statements
  [DoctrineBridge] Fixed an issue with DoctrineParserCache
  removed unneeded use statements
  Prepend Child Bundle paths before the parent
  [Routing] add unit tests for Symfony\Component\Routing\RequestContext class
",,,,,,12_may_2021_mp_not_adaptive_commits_batch_1
facebook/fbthrift,1d923132422f725265e63848cebab8b2856f5275,"Correctly deserialize unions

Summary: Unions cache their data locally, so we need to clear that cache once deserialization occurs (this isn't an issue for structs since they cache on demand, but unions cache on create).

Reviewed By: yfeldblum

Differential Revision: D5584510

fbshipit-source-id: c77b618adb1cd7dabc933ac051597f683cd94b7a
",,,,,,12_may_2021_mp_not_adaptive_commits_batch_1
CTSRD-CHERI/u-boot,0c79bde479db48d72d9193b179b79fceb4a38b41,"README: Remove CONFIG_SPI_FLASH_MTD help text

Since the help text is added in drivers/mtd/spi/Kconfig

Signed-off-by: Jagan Teki <c35ead695c815afec66007852160c881e0c98fbf@openedev.com>
",,,,,,12_may_2021_mp_not_adaptive_commits_batch_1
emberjs/ember.js,890fb044a20047119277497b35e255c52c6d1cb7,"[BUGFIX beta] Avoid rerendering outlet state during router destruction.

During each `Ember.Route`'s `willDestroy` we trigger a
`run.once(this.router, '_setOutlets');`. This is so that the routes
views are destroyed properly (by removing them from the outlet state).

During `Ember.Router`'s `willDestroy` we clear
`this._toplevelView` (along with a bunch of other cleanup).

These two things combined can mean that `this._toplevelView` is `null`
when `_setOutlets` is called again (during the `Router`'s destruction).
In that scenario we are actually creating another
`this._toplevelView` and setting up another rendered root (since one
doesn't exist). When this happens the newly created root is never
cleaned up, since the Router's `willDestroy` has already ran and can no
longer clean up after itself.
",,,,,,12_may_2021_mp_not_adaptive_commits_batch_1
nwjs/chromium.src,49fe879ac6b54d82d26fc21f172244ef32cb86ce,"Add a missing break. Found by PVS-Studio and -Wimplicit-fallthrough.

BUG=324935,177475
NOTRY=true

Review URL: https://codereview.chromium.org/99723003

git-svn-id: bf5cd6ccde378db821296732a091cfbcf5285fbd@163504 bbb929c8-8fbe-4397-9dbb-9b2b20218538
",,,,,,12_may_2021_mp_not_adaptive_commits_batch_1
simple-statistics/simple-statistics,dc64a5ca704037dd613cfc08dbe27f68e2dd33c6,"Update dependencies to enable Greenkeeper 🌴 (#196)

* chore(package): update dependencies

https://greenkeeper.io/

* docs(readme): add Greenkeeper badge 

https://greenkeeper.io/

* docs(readme): Move GreenKeeper badge to badge area of README
",,,,,,12_may_2021_mp_not_adaptive_commits_batch_1
openstenoproject/plover,6590e05a3c280e48f026485238813f5b44920e1a,"Added suspend and resume triggered by hotkeys.

Any dictionary entry of the form {PLOVER:FOO}, where FOO is the
command to execute, will be treated as a hotkey command. Hotkey
commands take up space in the translation buffer, but are otherwise
ignored by the translation pipeline. The supported hotkey commands
are:

SUSPEND - Halts interpretation of the steno data stream, except for
hotkey commands. Only dictionary entries that are hotkey commands are
acted upon. No other dictionary entries will have an effect.

RESUME - Continues the interpretation of the steno data stream. All
dictionary will be interpreted.

TOGGLE - Switch between suspend and resume modes.

CONFIGURE - Bring up the configuration dialog.
",,,,,,12_may_2021_mp_not_adaptive_commits_batch_1
terraform-providers/terraform-provider-aws,42449378fd53bc37eb8d8cd069213f40cdd99293,"data-source/aws_api_gateway_api_key: Add created_date, description, enabled,  last_updated_date, and tags attributes  (#10821)

Output from acceptance testing:

```
--- PASS: TestAccDataSourceAwsApiGatewayApiKey (8.38s)
```",,,,,,12_may_2021_mp_not_adaptive_commits_batch_1
tprrt/linux-stable,8de50dc26278a05363781514beb092a366c84654,"irqchip/stm32: Fix copyright

Uniformize STMicroelectronics copyrights header and add SPDX identifier

CC: Maxime Coquelin <abf7af79b25008a2c9c1572d66f685a2834dde02@gmail.com>
Signed-off-by: Benjamin Gaignard <6ee0a5bd5732730b243a6755a8505d5db9232205@st.com>
Signed-off-by: Thomas Gleixner <00e4cf8f46a57000a44449bf9dd8cbbcc209fd2a@linutronix.de>
Acked-by: Alexandre TORGUE <2def9cba63f53479ee2284c78700c4765096eb7e@st.com>
Acked-by: Maxime Coquelin <abf7af79b25008a2c9c1572d66f685a2834dde02@gmail.com>
Cc: 68c46a606457643eab92053c1c05574abb26f861@lakedaemon.net
Cc: a16cc0c82647c52d401177f8e50567df5499e36c@arm.com
Cc: f99ef57ccac738b558d0fc2e44478b3c5def9522@lists.infradead.org
Link: https://lkml.kernel.org/r/20171130084500.23439-1-6ee0a5bd5732730b243a6755a8505d5db9232205@st.com

",,,,,,12_may_2021_mp_not_adaptive_commits_batch_1
wongsyrone/lede-1,734a8c46e7037075d712e3d3844467672d0f91c9,"ramips: remove legacy ethernet driver components for mt7621

The mt7621 subtarget has been switched to DSA quite a while ago and
seems to run sufficiently fine. Build with older kernels than 5.4 has
been disabled directly during the kernel bump, so our local ethernet
driver is unused in master since then.

Therefore, let's remove the mt7621-specific parts of ""our"" ethernet
driver, so we don't have to maintain them and it's obvious to
everybody that they are not used anymore.

This also drops the offloading components as this was specifically
implemented to depend on mt7621.

Signed-off-by: Adrian Schmutzler <98f55d2e88c4f2211f21ce57ad36a0f2c004b614@adrianschmutzler.de>
",,,,,,12_may_2021_mp_not_adaptive_commits_batch_1
frappe/erpnext,44b088c6b3b255469bede0745acaf8a733a84b3a,"[UI Test Salary] To test the salary structure and the salary slip (#10407)

* Test for salary structure and salary slip

* Test for salary structure and salary slip

* Test for salary structure and salary slip

* Travis CI fixes

* Updated

* Updated

* travis fixes

* Travis fixes
",,,,,,12_may_2021_mp_not_adaptive_commits_batch_1
